NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMMJJ;RR;QRR;TN;QTN;HTN;QHTN;TX;QTX;HTX;QHTX;TM;QTM;TNTXM;QTNTXM;TAMPLI;QTAMPLI;TNSOL;QTNSOL;TN50;QTN50;DG;QDG;FFM;QFFM;FF2M;QFF2M;FXY;QFXY;DXY;QDXY;HXY;QHXY;FXI;QFXI;DXI;QDXI;HXI;QHXI;FXI2;QFXI2;DXI2;QDXI2;HXI2;QHXI2;FXI3S;QFXI3S;DXI3S;QDXI3S;HXI3S;QHXI3S;DRR;QDRR
69008001;ANCY_SAPC;45.843333;4.508167;626;20230101;0.0;1;10.3;1;722;9;15.4;1;1109;9;12.5;1;12.9;1;5.1;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20230102;5.6;1;6.9;1;1750;9;12.3;1;1215;9;9.5;1;9.6;1;5.4;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20230103;0.0;1;5.2;1;806;9;8.7;1;1139;9;6.1;1;7.0;1;3.5;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20230104;0.2;1;4.2;1;343;9;10.3;1;1337;9;8.0;1;7.3;1;6.1;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20230105;2.6;1;8.0;1;432;9;9.9;1;1224;9;8.6;1;9.0;1;1.9;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20230106;0.0;1;6.9;1;1744;9;8.2;1;1332;9;7.3;1;7.6;1;1.3;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20230107;1.8;1;5.1;1;204;9;12.5;1;1142;9;8.5;1;8.8;1;7.4;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20230108;5.2;1;7.3;1;2000;9;11.3;1;1107;9;9.2;1;9.3;1;4.0;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20230109;1.0;1;3.3;1;1624;9;5.8;1;1108;9;4.3;1;4.6;1;2.5;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20230110;0.0;1;1.6;1;806;9;9.4;1;543;9;4.7;1;5.5;1;7.8;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
